"Data Source","World Development Indicators",

"Last Updated Date","2019-10-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bahamas, The","BHS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20120.3484583069","19565.5369594599","18882.6202585485","19028.9914120417","19700.1622688561","20668.9077358671","21643.2303619571","22206.1709481936","23253.1427982417","24976.2782047754","26238.1844635855","27102.4547934282","27812.3591441751","27482.0559134905","27956.3822865239","29258.7016153484","30326.4527288721","30996.4287999538","30299.9254830142","28760.5128587163","29099.0572098722","29503.7080684624","30656.0767543286","30762.7939391795","31005.8010980643","31362.4791822494","30862.5383550076","31581.1043896488","",
"Bosnia and Herzegovina","BIH","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","952.903907080776","1208.23155352612","2364.76078686455","3257.32833700276","3809.61970603457","4225.42414949474","4547.9726702944","4751.11736117519","5136.52031267024","5373.14265907237","6200.62071114799","6479.66019242022","7406.34744829583","8188.58984099064","9028.86538080467","9030.46433192636","9347.58351722124","9976.47966210109","10304.0164615688","11016.5828511677","11433.1605263408","12013.9829179346","12824.0361342552","13735.0785041602","14347.9901231304",
"Belarus","BLR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5429.32105495204","5542.85252935455","5113.89229534465","4826.32463588673","4357.75395693437","3999.32412736798","4200.59488311966","4780.38712089889","5265.24390800183","5546.14509672369","6027.32518556579","6483.76108187186","6962.79822752408","7644.92770596435","8809.52694487048","10005.9372508617","11409.2555972706","12781.8090929713","14409.2218838988","14580.5808004617","15927.8747037977","17166.6956434719","17807.4177410243","18298.8470649613","18949.8824399732","18389.7437503155","18098.4228595267","18915.9398914361","19959.5427249814",
"Belize","BLZ","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3319.80133691514","3753.94710745933","4231.75558180258","4527.05028058972","4537.86109958967","4543.83446087978","4545.93016592948","4617.17577455081","4661.52872520049","4955.77038033457","5533.40054248332","5758.00203810436","5977.1270009534","6481.93253066697","6787.49907763729","6994.78996931729","7341.86401425307","7426.25953046321","7616.53275852816","7533.77078808382","7688.61787051334","7830.22586722299","8026.17277805109","8052.7944579114","8323.89335759415","8519.20027555645","8388.18205260709","8500.44479966081","8786.49480142582",
"Bermuda","BMU","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26316.0439539456","26380.0463862395","27161.1485798366","28488.0461654831","29068.5292782817","30762.7094848554","31935.8848366905","33774.2628656683","35226.7198964345","36737.9588552822","40694.79221328","44112.3269882042","43861.5704094528","45898.5811996256","47914.3737828261","49909.8809098733","53960.5565948306","56666.441572816","58305.3793053348","55337.6760328951","55241.0749007612","54984.5103947777","53137.2150705545","52547.3330904868","","","","","",
"Bolivia","BOL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2402.71272383661","2560.10965261555","2606.01116783557","2723.85829792023","2851.83350239604","2985.64993654904","3108.9104380538","3253.04750861447","3387.13091949151","3383.70959608299","3478.20247067836","3546.11606277465","3623.09176963451","3721.05593919113","3909.06503913716","4134.61651258349","4386.56545489644","4629.68279758844","4925.9196697829","5045.33127268835","5228.11532912655","5524.71779777384","5825.13998452263","6231.29634499904","6593.2329821835","6882.48891604412","7147.83920983733","7480.07714057558","7859.28171083468",
"Brazil","BRA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6710.96620931905","6919.98280289813","6925.38160831626","7297.68560733278","7723.90155936646","8102.67058305971","8300.24679138772","8594.56349911981","8588.3602503553","8624.43941934152","9073.97918111225","9274.24991710996","9581.99524035765","9747.94348397483","10460.5532508168","11004.9589424572","11659.3957007183","12568.2010540342","13332.1472057618","13288.4388133052","14320.3722812277","15061.9566296437","15506.5617123515","16111.4437445732","16358.3908596392","15813.8732646232","15331.5505756438","15662.2470175963","16068.019959844",
"Barbados","BRB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9164.71322349201","9070.20720146535","8596.74179116126","8874.59657234708","9370.9673361856","9722.05810919243","10250.5705569406","10875.2577108682","11360.352418755","11514.2611763394","12247.6741209083","12174.5916569723","12424.1115645136","12885.7149716871","13372.2444563335","14283.0062825093","15484.7176051269","16110.2066246965","16370.6172882289","15774.814894369","15942.746533594","16333.1991160155","16651.2935264519","16909.5183800771","17200.5386050508","17510.9760071399","18027.9583098538","18526.008560408","",
"Brunei Darussalam","BRN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54959.6668569791","56957.0456411403","59315.4955567817","59221.6276481793","60713.3776960527","63092.9578712221","64468.3764903098","63095.7764156471","62020.9094059057","63432.2555609566","65305.7655743062","67184.3544982619","69510.2085320644","71514.3937222503","72549.224959261","73930.4777034419","78411.614598788","79631.1923643943","78670.5579464249","76961.8121969625","78907.8712160233","82502.9352973488","83725.4210256357","82263.4983065777","80782.0314974119","80177.7561185515","78134.6665209268","79789.6050852948","80777.5506698453",
"Bhutan","BTN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1527.31800537684","1561.26853245371","1670.680163884","1750.52329780275","1878.89765191748","2043.53569935775","2168.99147287466","2281.79206103814","2389.08220218943","2555.91735006602","2732.09486781434","2957.91739696173","3260.19236628088","3507.93456767079","3749.24143090073","4078.03595424595","4430.00689455888","5304.21831488113","5608.40756711891","5967.75080811045","6674.86281963521","7269.3431327835","7692.58153675841","7897.85449414601","8405.26969561394","8949.83705919535","9656.33926201132","10173.0510685791","10516.277213035",
"Botswana","BWA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5516.98274930734","5946.12968558387","6088.13827546302","6190.3822247993","6392.27241569936","6818.18080366058","7174.16372851834","7722.30007466195","7667.65979118232","8347.87433086944","8528.96912535793","8574.34376615127","9076.22839320395","9506.49246628163","9849.79699521299","10421.3719284365","11401.3475984634","12409.2978746614","13158.8487123986","12007.2323898495","12964.3514434681","13838.6028216807","14558.0664085955","16310.1028852827","17092.1222420147","16724.5177802601","17314.7804034064","17784.8558105295","18582.9665413466",
"Central African Republic","CAF","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","637.673007011812","639.247859973049","595.124008503112","593.826026439277","618.190362393133","658.195845800187","626.792728738065","654.729006660342","676.651414505121","694.63843343902","676.811041723269","706.698179903914","728.166256456519","687.364904820005","733.317734653318","748.194265804017","791.985623772569","834.531689386393","852.929806213582","919.408558925555","962.291972167769","1016.21855192248","1083.68992545175","703.492410361881","715.032744745509","750.777013508744","789.165191749179","829.346498086113","871.521420681835",
"Canada","CAN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20173.9356465246","20160.7288519578","20557.4633562187","21367.203268229","22555.697443187","23401.8746824753","23962.4994488813","25167.5197132665","26220.2662066619","27745.8065524148","29265.0844377454","30107.6569414056","30853.201316329","32225.0521212425","33796.9991962311","36211.0845984165","37999.0385951977","39439.8068856578","40275.9898957504","38797.3850494638","40012.3913979895","41569.449617197","42189.1961096712","44188.7317079989","45645.5642968788","44567.8663498079","45011.6431674509","46723.3177643637","48106.8930187143",
"Central Europe and the Baltics","CEB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7084.57073530912","6641.4266076596","6673.86991459213","6944.92672606061","7386.55647946915","7959.71080654018","8366.11767381635","8681.5247769129","9076.69960438468","9376.3513414749","10002.1317524802","10785.1678196929","11609.5241209338","12300.8827506438","13444.7098101144","14282.0428086949","15872.4212847559","17713.623132243","19646.7834802279","19666.237734398","20723.8943589451","22133.687499333","22945.9332845007","23958.6340164913","24969.6256953359","26036.2997148746","27331.9005800545","29617.9131630419","31182.8157028748",
"Switzerland","CHE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27594.6320514102","27915.4715600099","28226.2267443858","28596.9528449681","29343.6315787123","29902.4899798191","30542.0818966431","31812.5156785999","32918.592079192","33814.0792910998","35754.5731603853","36778.0210933713","37718.3041278531","37713.3683722134","39169.9960315091","40572.2631753381","45106.4159314955","49746.3554026374","52584.7349460344","51769.0498916588","53067.6865897775","56183.8325850081","57849.5839884654","60108.5163468318","61902.1624060426","63938.9799757284","64215.8602620115","66299.6250110989","68095.7803961386",
"Channel Islands","CHI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4511.17005852604","4952.53850715378","5622.77735855376","6119.38016839995","6568.78082455401","7351.82880778263","8011.5711832202","8637.33074065478","8995.76512018912","8977.1174018074","9553.56662261844","9972.65102673782","10333.0636258187","10841.3238883432","11812.6350110434","12746.5833879323","15753.962990375","16941.8359830089","16501.8069214628","16159.6052340491","18161.8039224929","20342.5709204911","21507.7074027908","22439.2783559638","22786.6556024001","22688.0100281186","22874.1494182585","24248.8607595513","25222.52777715",
